"STATION","ID","ELEV(FEET)","LATITUDE","LONGITUDE","COUNTY","RIVER BASIN"
"14N01E35P001M","C06","49","39.012440","-121.829041","COLUSA","SACTO VLY WEST"
"14N01E35P002M","C07","48","39.012440","-121.829041","COLUSA","SACTO VLY WEST"
"14N01E35P003M","C08","48","39.012440","-121.829041","COLUSA","SACTO VLY WEST"
"14N01E35P004M","C09","48","39.012440","-121.829041","COLUSA","SACTO VLY WEST"
"17N01W27A001M","C11","69","39.300991","-121.952988","COLUSA","SACRAMENTO R"
"17N01W27A002M","C14","69","39.009899","-121.952988","COLUSA","SACRAMENTO R"
"17N01W27A003M","C15","68","39.300991","-121.952988","COLUSA","SACRAMENTO R"
"18N04E19D001M","B10","125","39.405121","-121.573624","BUTTE","FEATHER R"
"18N04E19D002M","B11","125","39.405121","-121.573624","BUTTE","FEATHER R"
"18N04E19D003M","B12","125","39.405121","-121.573624","BUTTE","FEATHER R"
"19N2E07K02M HARRIS RD NR RICHVALE","B03","93","39.511768","-121.787979","BUTTE","BUTTE CR"
"19N2E07K03M HARRIS RD NR RICHVALE","B02","93","39.511768","-121.787979","BUTTE","BUTTE CR"
"19N2E07K2-4M HARRIS RD NR RICHVALE","07K","93","39.511768","-121.787979","BUTTE","BUTTE CR"
"20N2E24C1-3M NELSON RD NR ADOBE RD","24C","150","39.581272","-121.702583","BUTTE","BUTTE CR"
"21N1E13L02M CHICO UNIV FARM","B09","151","39.673447","-121.814423","BUTTE","BUTTE CR"
"21N1E13L03M CHICO UNIV FARM","B08","151","39.673447","-121.814423","BUTTE","BUTTE CR"
"21N1E13L04M CHICO UNIV FARM","B07","151","39.673447","-121.814423","BUTTE","BUTTE CR"
"21N1E13L2-4M CHICO UNIV FARM","13L","151","39.673447","-121.814423","BUTTE","BUTTE CR"
"22N01W29N001M","G18","151","39.726269","-122.010521","GLENN","STONY CR"
"22N01W29N002M","G19","151","39.726269","-122.010521","GLENN","STONY CR"
"22N01W29N003M","G20","150","39.726269","-122.010521","GLENN","STONY CR"
"22N01W29N004M","G21","149","39.726269","-122.010521","GLENN","STONY CR"
"22N03W24E001M","G11","232","39.747337","-122.155922","GLENN","SACTO VLY WEST"
"22N03W24E002M","G12","232","39.747337","-122.155922","GLENN","SACTO VLY WEST"
"22N03W24E003M","G13","232","39.747337","-122.155922","GLENN","SACTO VLY WEST"
"22N04W01A001M","G14","318","39.797489","-122.252174","GLENN","STONY CR"
"22N04W01A002M","G15","318","39.797489","-122.252174","GLENN","STONY CR"
"22N04W01A003M","G16","318","39.797489","-122.252174","GLENN","STONY CR"
"22N04W01A004M","G17","318","39.797489","-122.252174","GLENN","STONY CR"
"31N04W22P001M","S01","503","40.522400","-122.309143","SHASTA","SACRAMENTO R"
"31N04W22P002M","S02","503","40.522400","-122.309143","SHASTA","SACRAMENTO R"
"31N04W22P003M","S03","503","40.522400","-122.309143","SHASTA","SACRAMENTO R"
"31N04W22P004M","S04","503","40.522400","-122.309143","SHASTA","SACRAMENTO R"
"A.G. WISHON (PG&E)","AGW","1000","37.151001","-119.504997","MERCED","SAN JOAQUIN R"
"ABBOTT LAKE 1 WEST LEVEE WELL","AL1","48","39.018806","-121.611214","SUTTER","FEATHER R"
"ABBOTT LAKE 2 WEST LEVEE WELL","AL2","48","39.019753","-121.611984","SUTTER","FEATHER R"
"ABBOTT LAKE 3 WEST LEVEE WELL","AL3","48","39.020412","-121.612373","SUTTER","FEATHER R"
"ACORN WOMAN PEAK","SQP","4964","42.069698","-123.011703","SISKIYOU","KLAMATH R"
"ACTON","ACN","2600","34.445999","-118.199997","LOS ANGELES","SANTA CLARA R"
"ADIN MOUNTAIN","ADM","6200","41.237000","-120.792000","MODOC","PIT R"
"AGNEW PASS","AGP","9450","37.726631","-119.141731","MADERA","SAN JOAQUIN R"
"ALAMEDA CK ABOVE DIV DAM NR SUNOL CA","ACD","930","37.497437","-121.773567","SANTA CLARA","ALAMEDA CR"
"ALAMEDA CK BL CALAVERAS CK NR SUNOL CA","ACC","430","37.504002","-121.823997","SANTA CLARA","ALAMEDA CR"
"ALAMEDA CK NR NILES","ALN","86","37.587158","-121.960793","ALAMEDA","ALAMEDA CR"
"ALAMO CREEK AT PLEASANTS VALLEY ROAD","ALC","259","38.374088","-122.024986","SOLANO","SF BAY"
"ALAMO MOUNTAIN","AOM","6700","34.670277","-118.980003","VENTURA","SANTA CLARA R"
"ALDER POINT","ALD","923","40.231998","-123.711998","HUMBOLDT","EEL R"
"ALDER SPRINGS (USACE)","ALS","4500","39.650002","-122.724998","GLENN","STONY CR"
"ALDER SPRINGS NEAR ELK CREEK","ADS","4500","39.650002","-122.724998","GLENN","STONY CR"
"ALHAMBRA CREEK AT D STREET","ACZ","59","38.003399","-122.129669","CONTRA COSTA","EAST BAY"
"ALISO CANYON","ALO","2780","34.328999","-118.555000","VENTURA","SANTA CLARA R"
"ALLEGHANY","ALY","4957","39.470215","-120.874275","SIERRA","YUBA R"
"ALPHA (SMUD)","ALP","7600","38.804192","-120.215652","EL DORADO","AMERICAN R"
"ALPINE","API","2041","32.834000","-116.738998","SAN DIEGO","SAN DIEGO R"
"AMERICAN R AT FOLSOM","AMF","0","38.682999","-121.182999","SACRAMENTO","AMERICAN R"
"AMERICAN R BELOW FOLSOM DAM","AFD","220","38.688301","-121.166702","SACRAMENTO","AMERICAN R"
"AMERICAN RIVER AT CHILI BAR","CBR","931","38.771999","-120.816002","EL DORADO","AMERICAN R"
"AMERICAN RIVER AT FAIR OAKS","AFO","72","38.635460","-121.227730","SACRAMENTO","AMERICAN R"
"AMERICAN RIVER AT H STREET BRIDGE","HST","45","38.568710","-121.423691","SACRAMENTO","AMERICAN R"
"AMERICAN RIVER AT WILLIAM B POND PARK","AWP","45","38.591000","-121.332001","SACRAMENTO","AMERICAN R"
"AMERICAN RIVER BELOW WATT AVE BRIDGE","AWB","50","38.567001","-121.387001","SACRAMENTO","AMERICAN R"
"AMERICAN SF NR KYBURZ","AMK","3840","38.764000","-120.324997","EL DORADO","AMERICAN R"
"ANGWIN","ANG","1815","38.571201","-122.433197","NAPA","NAPA R"
"ANTELOPE CREEK NEAR RED BLUFF","ATC","363","40.202778","-122.118889","TEHAMA","SACRAMENTO R"
"ANTELOPE LAKE","ANT","4960","40.180000","-120.607002","PLUMAS","FEATHER R"
"ANTELOPE R TAILRACE","ATR","4912","40.179699","-120.608498","PLUMAS","FEATHER R"
"ANTELOPE VALLEY CALIF POPPY RESERVE","POP","2760","34.737999","-118.403999","LOS ANGELES","ANTELOPE VALLEY"
"ANZA","ANZ","3920","33.555801","-116.674400","RIVERSIDE","SAN JACINTO R"
"APTOS CREEK AT RIDER ROAD","APT","1123","37.036098","-121.852798","SANTA CRUZ","SAN LORENZO R"
"ARCADE CK NR DEL PASO HTS","ACK","50","38.641602","-121.382500","SACRAMENTO","AMERICAN R"
"ARCADE CREEK AT SUNRISE BLVD","ARD","22","38.683998","-121.271004","SACRAMENTO","AMERICAN R"
"ARCADE CREEK AT WINDING WAY","AMC","70","38.645000","-121.347000","SACRAMENTO","AMERICAN R"
"ARDEN WAY","ARW","35","38.596001","-121.413002","SACRAMENTO","AMERICAN R"
"ARROWHEAD SPRINGS HOTEL","ARS","2000","34.183998","-117.264000","SAN BERNARDINO","LYTLE CR"
"ARROYO CORTE MADERA DEL PRESIDIO","ACM","3","37.897999","-122.535004","MARIN","SF BAY"
"ARROYO DEL HAMBRE","ABA","800","37.977001","-122.178001","CONTRA COSTA","EAST BAY"
"ARROYO GRANDE","ARG","600","35.117001","-120.417000","SAN LUIS OBISPO","ARROYO GRANDE CREEK"
"ARROYO HONDO NR SAN JOSE CA","AHD","784","37.461605","-121.769394","SANTA CLARA","ALAMEDA CR"
"ARROYO PASAJERO AT GALE AVENUE","GAL","240","36.181667","-120.049438","FRESNO","ARROYO PASAJERO"
"ARROYO SECO","ARY","980","36.230000","-121.487999","MONTEREY","SALINAS R"
