Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2023-08-01 00:00,0.118,0.072,0,0,0,0,p
2023-08-01 00:06,0.151,0.049,0,0,0,0,p
2023-08-01 00:12,0.082,0.066,0,0,0,0,p
2023-08-01 00:18,0.095,0.062,1,0,0,0,p
2023-08-01 00:24,0.157,0.069,1,0,0,0,p
2023-08-01 00:30,0.154,0.056,0,0,0,0,p
2023-08-01 00:36,0.230,0.052,1,0,0,0,p
2023-08-01 00:42,0.305,0.069,1,0,0,0,p
2023-08-01 00:48,0.384,0.046,1,0,0,0,p
2023-08-01 00:54,0.479,0.052,1,0,0,0,p
2023-08-01 01:00,0.518,0.049,1,0,0,0,p
2023-08-01 01:06,0.558,0.049,0,0,0,0,p
2023-08-01 01:12,0.587,0.039,1,0,0,0,p
2023-08-01 01:18,0.643,0.052,0,0,0,0,p
2023-08-01 01:24,0.722,0.056,0,0,0,0,p
2023-08-01 01:30,0.797,0.049,0,0,0,0,p
2023-08-01 01:36,0.866,0.075,0,0,0,0,p
2023-08-01 01:42,0.915,0.052,0,0,0,0,p
2023-08-01 01:48,0.951,0.052,1,0,0,0,p
2023-08-01 01:54,0.948,0.059,0,0,0,0,p
2023-08-01 02:00,1.060,0.043,0,0,0,0,p
2023-08-01 02:06,1.073,0.039,1,0,0,0,p
2023-08-01 02:12,1.079,0.036,1,0,0,0,p
2023-08-01 02:18,1.145,0.059,0,0,0,0,p
2023-08-01 02:24,1.207,0.052,1,0,0,0,p
2023-08-01 02:30,1.257,0.039,1,0,0,0,p
2023-08-01 02:36,1.237,0.043,0,0,0,0,p
2023-08-01 02:42,1.211,0.039,1,0,0,0,p
2023-08-01 02:48,1.250,0.043,0,0,0,0,p
2023-08-01 02:54,1.237,0.039,0,0,0,0,p
2023-08-01 03:00,1.220,0.043,1,0,0,0,p
2023-08-01 03:06,1.253,0.056,0,0,0,0,p
2023-08-01 03:12,1.299,0.046,0,0,0,0,p
2023-08-01 03:18,1.299,0.049,1,0,0,0,p
2023-08-01 03:24,1.348,0.049,0,0,0,0,p
2023-08-01 03:30,1.365,0.036,1,0,0,0,p
2023-08-01 03:36,1.385,0.039,1,0,0,0,p
2023-08-01 03:42,1.407,0.039,1,0,0,0,p
2023-08-01 03:48,1.417,0.052,0,0,0,0,p
2023-08-01 03:54,1.486,0.056,1,0,0,0,p
2023-08-01 04:00,1.506,0.049,1,0,0,0,p
